"id","lon","lat","depth_gebco","lon_corrected","lat_corrected","corrected_depth"
"10Tt004",-82.5435,27.1667,"-10",-82.5435,27.1667,"-10"
"10Tt007",-82.7192,27.388,"-10",-82.7192,27.388,"-10"
"10Tt041",-82.4877,27.104,"-9",-82.4877,27.104,"-9"
"10Tt055",-82.8343,27.5678,"-13",-82.8343,27.5678,"-13"
"10Tt059",-82.5898,27.2915,"-8",-82.5898,27.2915,"-8"
"13Tt004",-80.8252,29.6748,"-25",-80.8252,29.6748,"-25"
"13Tt006",-80.3287,29.761,"-46",-80.3287,29.761,"-46"
"13Tt008",-81.0239,30.2033,"-26",-81.0239,30.2033,"-26"
"13Tt013",-80.8091,30.4723,"-26",-80.8091,30.4723,"-26"
"13Tt036",-75.5631,35.7701,"-5",-75.5631,35.7701,"-5"
"13Tt038",-75.2947,34.9472,"-255",-75.2947,34.9472,"-255"
"13Tt041",-75.7237,36.1573,"-10",-75.7237,36.1573,"-10"
"13Tt042",-76.0171,35.0305,"-11",-76.0171,35.0305,"-11"
"13Tt045",-75.5693,35.8821,"-10",-75.5693,35.8821,"-10"
"13Tt056",-76.58,33.91,"-40",-76.58,33.91,"-40"
"13Tt066",-77.3205,34.3803,"-17",-77.3205,34.3803,"-17"
"13Tt073",-78.2068,33.6701,"-18",-78.2068,33.6701,"-18"
"13Tt087",-79.1261,33.3861,"-7",-79.1261,33.3861,"-7"
"13Tt089",-79.132,33.3658,"-7",-79.132,33.3658,"-7"
"13Tt092",-77.0559,34.1416,"-29",-77.0559,34.1416,"-29"
"13Tt105",-78.516,33.8588,"-4",-78.516,33.8588,"-4"
"13Tt109",-79.1392,33.3639,"-6",-79.1392,33.3639,"-6"
"13Tt111",-79.0073,33.5287,"-7",-79.0073,33.5287,"-7"
"13Tt121",-78.2717,33.9021,"-9",-78.2717,33.9021,"-9"
"13Tt126",-78.2634,33.8843,"-10",-78.2634,33.8843,"-10"
"13Tt140",-78.3348,33.8998,"-8",-78.3348,33.8998,"-8"
"13Tt142",-78.3082,33.8967,"-9",-78.3082,33.8967,"-9"
"13Tt151",-78.3402,33.8879,"-9",-78.3402,33.8879,"-9"
"13Tt187",-76.8017,33.9609,"-36",-76.8017,33.9609,"-36"
"13Tt201",-76.4039,34.2485,"-32",-76.4039,34.2485,"-32"
"13Tt203",-78.0281,33.8878,"-6",-78.0281,33.8878,"-6"
"14Tt383",-81.4378,31.0343,"-5",-81.4378,31.0343,"-5"
"14Tt385",-81.4543,31.0424,"-4",-81.4543,31.0424,"-4"
"14Tt386",-81.4529,31.0236,"-7",-81.4529,31.0236,"-7"
"14Tt394",-81.5215,31.1164,"1",-81.5145833333333,31.1229166666667,"-8"
"14Tt395",-81.5215,31.1164,"1",-81.5145833333333,31.1229166666667,"-8"
"16Tt135",-89.0854,30.3336,"-10",-89.0854,30.3336,"-10"
"16Tt244",-89.2922,30.314,"-4",-89.2922,30.314,"-4"
"19Tt005",-82.6137,27.408,"-6",-82.6137,27.408,"-6"
"19Tt010",-82.5748,27.3593,"-7",-82.5748,27.3593,"-7"
"22Tt007",-86.3812,30.4274,"-8",-86.3812,30.4274,"-8"
"22Tt011",-86.4865,30.4232,"-6",-86.4865,30.4232,"-6"
"22Tt017",-86.5944,30.4276,"-2",-86.5944,30.4276,"-2"
"22Tt029",-86.177,30.4033,"-3",-86.177,30.4033,"-3"
"22Tt046",-86.384,30.4523,"-7",-86.384,30.4523,"-7"
"22Tt049",-86.2837,30.4062,"-3",-86.2837,30.4062,"-3"
"22Tt060",-86.2551,30.4368,"-3",-86.2551,30.4368,"-3"
"22Tt085",-86.586,30.4274,"-2",-86.586,30.4274,"-2"
"24Tt005",-89.9563,29.271,"-2",-89.9563,29.271,"-2"
"24Tt009",-89.9757,29.2541,"1",-89.9770833333333,29.2604166666667,"-1"
"24Tt010",-90.0267,29.2199,"2",-90.0270833333333,29.2229166666667,"-1"
"24Tt012",-89.9525,29.2753,"-3",-89.9525,29.2753,"-3"
"24Tt014",-89.9694,29.2651,"-2",-89.9694,29.2651,"-2"
"24Tt018",-89.954,29.2742,"-4",-89.954,29.2742,"-4"
