id,Collection.Date,RADSeq.year,Lat,Long,Month,Year,Source,Sex,NCBI.Accession,lon,lat,depth_gebco,lon_corrected,lat_corrected,corrected_depth,distance_to_shore,region,dapc_population,admixture_population,offshore_putative_hybrids,low_confidence_population,fourpop,sixpop,newhybrids_category,species
10Tt004,9/10/1999,2019,27.1667,-82.5435,September,1999,biopsy,M,PRJNA1289198,-82.5435,27.1667,-10,-82.5435,27.1667,-10,5753.4,Gulf,Intermediate,Intermediate,FALSE,FALSE,Intermediate,Intermediate_Gulf,NA,Tursiops erebennus
10Tt007,12/22/1999,2019,27.388,-82.7192,December,1999,biopsy,F,PRJNA1289198,-82.7192,27.388,-10,-82.7192,27.388,-10,9343.98,Gulf,Intermediate,Intermediate,FALSE,FALSE,Intermediate,Intermediate_Gulf,NA,Tursiops erebennus
10Tt041,7/11/2000,2019,27.104,-82.4877,July,2000,biopsy,F,PRJNA1289198,-82.4877,27.104,-9,-82.4877,27.104,-9,3356.79,Gulf,Intermediate,Intermediate,FALSE,FALSE,Intermediate,Intermediate_Gulf,NA,Tursiops erebennus
10Tt055,8/4/2000,2019,27.5678,-82.8343,August,2000,biopsy,M,PRJNA1289198,-82.8343,27.5678,-13,-82.8343,27.5678,-13,17608.38,Gulf,Intermediate,Intermediate,FALSE,FALSE,Intermediate,Intermediate_Gulf,NA,Tursiops erebennus
10Tt059,8/15/2000,2019,27.2915,-82.5898,August,2000,biopsy,M,PRJNA1289198,-82.5898,27.2915,-8,-82.5898,27.2915,-8,3639.92,Gulf,Intermediate,Coastal_Gulf,FALSE,TRUE,Intermediate,Intermediate_Gulf,NA,Tursiops erebennus
13Tt004,8/10/2001,2019,29.6748,-80.8252,August,2001,biopsy,F,PRJNA1289198,-80.8252,29.6748,-25,-80.8252,29.6748,-25,35901.26,Atlantic,Intermediate,Intermediate,FALSE,FALSE,Intermediate,Intermediate_Atlantic,NA,Tursiops erebennus
13Tt006,8/10/2001,2019,29.761,-80.3287,August,2001,biopsy,M,PRJNA1289198,-80.3287,29.761,-46,-80.3287,29.761,-46,84032.63,Atlantic,Intermediate,Intermediate,FALSE,FALSE,Intermediate,Intermediate_Atlantic,NA,Tursiops erebennus
13Tt008,8/12/2001,2019,30.2033,-81.0239,August,2001,biopsy,M,PRJNA1289198,-81.0239,30.2033,-26,-81.0239,30.2033,-26,33187.66,Atlantic,Intermediate,Intermediate,FALSE,FALSE,Intermediate,Intermediate_Atlantic,NA,Tursiops erebennus
13Tt013,8/16/2001,2019,30.4723,-80.8091,August,2001,biopsy,F,PRJNA1289198,-80.8091,30.4723,-26,-80.8091,30.4723,-26,58744.13,Atlantic,Intermediate,Intermediate,FALSE,FALSE,Intermediate,Intermediate_Atlantic,NA,Tursiops erebennus
13Tt036,8/15/2001,2019,35.7701,-75.5631,August,2001,biopsy,M,PRJNA1227152,-75.5631,35.7701,-5,-75.5631,35.7701,-5,10700.38,Atlantic,Coastal_Atlantic,Coastal_Atlantic,FALSE,FALSE,Coastal_Atlantic,Coastal_Atlantic,NA,Tursiops erebennus
13Tt038,8/7/2001,2019,34.9472,-75.2947,August,2001,biopsy,M,PRJNA1289198,-75.2947,34.9472,-255,-75.2947,34.9472,-255,41913.45,Atlantic,Offshore,Offshore,FALSE,FALSE,Offshore,Offshore_Atlantic,NA,Tursiops truncatus
13Tt041,8/14/2001,2019,36.1573,-75.7237,August,2001,biopsy,F,PRJNA1227152,-75.7237,36.1573,-10,-75.7237,36.1573,-10,1729.75,Atlantic,Coastal_Atlantic,Coastal_Atlantic,FALSE,FALSE,Coastal_Atlantic,Coastal_Atlantic,NA,Tursiops erebennus
13Tt042,8/17/2001,2019,35.0305,-76.0171,August,2001,biopsy,F,PRJNA1227152,-76.0171,35.0305,-11,-76.0171,35.0305,-11,24686.34,Atlantic,Coastal_Atlantic,Coastal_Atlantic,FALSE,FALSE,Coastal_Atlantic,Coastal_Atlantic,NA,Tursiops erebennus
